"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","27p","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"C3,C4,C6,C7,C8,C9,C10,C11,C15","9","100n","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"C5,C12","2","1u","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"C13","1","10u","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"C14","1","22pF","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"C16,C17","2","10uF","","","","Capacitor_SMD:CP_Elec_4x5.4","~"
"D1","1","D_Schottky","","","","Diode_SMD:D_SOD-128","~"
"D2","1","WS2812B","","","","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf"
"D3","1","D_TVS_Dual_AAC","","","","Package_TO_SOT_SMD:SOT-23","~"
"D4,D5","2","LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"F1","1","Fuse","","","","Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
"J1","1","USB_C_Receptacle_USB2.0","","","","Connector_USB:USB_C_Receptacle_G-Switch_GT-USB-7010ASV","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2","1","SM04B-SRSS-TB_LF__SN_","","","","SPARKFUN-QWIIC:JST_SM04B-SRSS-TB_LF__SN_",""
"J3","1","Conn_01x10_Socket","","","","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical","~"
"J4,J6","2","Conn_01x08_Socket","","","","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~"
"J5","1","Conn_01x06_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~"
"J7","1","Conn_01x06_Socket","","","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~"
"J8","1","Conn_01x03_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
"J9","1","Barrel_Jack_Switch","","","","Connector_BarrelJack:BarrelJack_Horizontal","~"
"J10","1","Conn_01x02_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"JP1,JP2,JP7,JP8","4","Jumper_2_Bridged","","","","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
"JP3","1","Jumper_3_Open","","","","Jumper:SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm","~"
"JP4","1","Jumper_2_Open","","","","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
"Q3,Q4,Q5,Q6","4","BSS138","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF"
"R1,R8","2","220","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R2,R3,R33","3","5.1K","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R4,R5","2","27R","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R6,R16","2","1k","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R7","1","10k","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R11,R12,R13,R14,R20,R21,R22,R23","8","10K","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R15,R17","2","2.2K","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"S1","1","SK-3296S-01-L3","","","","switchess:SK3296S01L3","https://datasheet.lcsc.com/szlcsc/XKB-SK-3296S-01-L3_C319019.pdf"
"SW1","1","TACT SW","","","","Button_Switch_SMD:SW_SPST_TL3342","PTS526SP20SMTR2 LFS"
"SW2","1","4*4*1/5 SMD tact SW","","","","Button_Switch_SMD:SW_SPST_TL3342","https://www.ktron.in/product/4x4x1-5mm-smd-tactile-switch/"
"SW3","1","SW_DPDT_x2","","","","switchess:SW_CL-SB-22A-02T","SMMD"
"U1","1","RP2040","","","","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf"
"U3","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U4","1","AMS1117-5.0","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U5","1","W25Q32JVZP","","","","Package_SON:WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm","http://www.winbond.com/resource-files/w25q32jv%20revg%2003272018%20plus.pdf"
"Y1","1","\YSX321SL 12 Mhz","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","https://www.ktron.in/wp-content/uploads/2023/02/YSX321SL-Datasheet.pdf"
